#,64,35,63.5859
#,64,36,63.5426
#,64,37,63.5771
#,64,38,63.5532
#,64,39,63.5859
#,64,40,63.5616
#,64,41,63.5876
#,64,42,63.5451
#,64,43,63.5863
#,64,44,63.5586
#,64,45,63.5824
#,64,46,63.565
#,64,47,63.5986
#,64,48,63.5646
#,64,49,63.593
#,64,50,63.5582
#,64,51,63.5905
#,64,52,63.5643
#,64,53,63.5853
#,64,54,63.5591
#,64,55,63.5906
#,64,56,63.5659
#,64,57,63.5906
#,64,58,63.5495
#,64,59,63.5907
#,64,60,63.5612
#,64,61,63.5888
#,64,62,63.5652
#,64,63,63.5971
#,64,0,63.5628
$,64,2632.57
#,64,1,63.7391
#,64,2,63.719
#,64,3,63.7462
#,64,4,63.7289
#,64,5,63.7458
#,64,6,63.705
#,64,7,63.7273
#,64,8,63.7152
#,64,9,63.7329
#,64,10,63.7281
#,64,11,63.7556
#,64,12,63.7434
#,64,13,63.751
#,64,14,63.7255
#,64,15,63.7522
#,64,16,63.7419
#,64,17,63.7458
#,64,18,63.7291
#,64,19,63.7552
#,64,20,63.7404
#,64,21,63.7512
#,64,22,63.7262
#,64,23,63.7427
#,64,24,63.7273
#,64,25,63.744
#,64,26,63.7218
#,64,27,63.7566
#,64,28,63.7457
#,64,29,63.7528
#,64,30,63.7283
#,64,31,63.7544
#,64,32,63.737
#,64,33,63.74
#,64,34,63.71
#,64,35,63.7463
#,64,36,63.729
#,64,37,63.7466
#,64,38,63.7117
#,64,39,63.7303
#,64,40,63.7188
#,64,41,63.7349
#,64,42,63.7333
#,64,43,63.7577
#,64,44,63.746
#,64,45,63.755
#,64,46,63.73
#,64,47,63.7577
#,64,48,63.7414
#,64,49,63.7483
#,64,50,63.7312
#,64,51,63.7561
#,64,52,63.7408
#,64,53,63.7526
#,64,54,63.7285
#,64,55,63.7467
#,64,56,63.729
#,64,57,63.7429
#,64,58,63.731
#,64,59,63.7579
#,64,60,63.7495
#,64,61,63.7553
#,64,62,63.7259
#,64,63,63.7566
#,64,0,63.7369
$,64,2629.29
#,128,1,62.4251
#,128,2,40.0142
#,128,3,50.4222
#,128,4,18.7051
#,128,5,62.4157
#,128,6,51.5427
#,128,7,62.6188
#,128,8,62.367
#,128,9,44.6949
#,128,10,62.5381
#,128,11,62.5522
#,128,12,48.6076
#,128,13,51.5534
#,128,14,44.549
#,128,15,51.7892
#,128,16,34.0847
#,128,17,51.5602
#,128,18,62.8303
#,128,19,33.6651
#,128,20,34.1457
#,128,21,62.547
#,128,22,15.6303
#,128,23,62.533
#,128,24,58.6464
#,128,25,62.4071
#,128,26,37.7032
#,128,27,62.7123
#,128,28,62.5281
#,128,29,60.7169
#,128,30,62.4096
#,128,31,62.6459
#,128,32,48.7897
#,128,33,62.4287
#,128,34,62.9
#,128,35,50.4515
#,128,36,34.8359
#,128,37,62.4163
#,128,38,51.5455
#,128,39,62.4139
#,128,40,47.572
#,128,41,45.5844
#,128,42,45.5699
#,128,43,62.4299
#,128,44,51.5551
#,128,45,51.5604
#,128,46,25.5612
#,128,47,18.5763
#,128,48,30.5947
#,128,49,51.565
#,128,50,51.9983
#,128,51,18.5734
#,128,52,34.1297
#,128,53,62.4206
#,128,54,15.6293
#,128,55,62.4585
#,128,56,37.6133
#,128,57,50.5628
#,128,58,62.4012
#,128,59,62.7051
#,128,60,47.5511
#,128,61,62.433
#,128,62,46.9158
#,128,63,62.4248
#,128,64,50.7187
#,128,65,47.5835
#,128,66,34.7741
#,128,67,36.7021
#,128,68,18.6947
#,128,69,62.4102
#,128,70,41.5606
#,128,71,51.7541
#,128,72,47.5787
#,128,73,44.5606
#,128,74,53.0894
#,128,75,62.4274
#,128,76,40.5622
#,128,77,51.5467
#,128,78,35.5727
#,128,79,47.6864
#,128,80,34.0748
#,128,81,51.5527
#,128,82,47.0008
#,128,83,18.0028
#,128,84,34.1181
#,128,85,33.5584
#,128,86,14.0094
#,128,87,47.6987
#,128,88,46.6231
#,128,89,62.3966
#,128,90,62.5347
#,128,91,62.7147
#,128,92,62.4132
#,128,93,62.5485
#,128,94,62.4156
#,128,95,62.63
#,128,96,62.5876
#,128,97,62.4309
#,128,98,62.8786
#,128,99,50.4553
#,128,100,62.6876
#,128,101,62.4264
#,128,102,51.5526
#,128,103,62.4556
#,128,104,62.5236
#,128,105,62.4125
#,128,106,62.4062
#,128,107,62.5013
#,128,108,51.6225
#,128,109,51.5727
#,128,110,48.5459
#,128,111,62.4238
#,128,112,34.1694
#,128,113,51.7016
#,128,114,62.9516
#,128,115,33.6671
#,128,116,34.1373
#,128,117,62.4249
#,128,118,15.7709
#,128,119,62.5324
#,128,120,58.6162
#,128,121,62.4091
#,128,122,62.4074
#,128,123,62.7133
#,128,124,47.6855
